TARGETID,Z_1,TARGET_RA_1,TARGET_DEC_1,SURVEY
2349708412452865,1.5759985232215534,28.2709192,-9.8296471,main
2349709108707329,0.9801675792188292,70.4137,-9.784,main
2349714112512001,1.6324608195399202,12.9016,-9.3899,main
2349714418696192,0.5575371616269894,31.3527,-9.5065,main
2349714418696193,1.3358252470310819,31.353,-9.5061,main
2349714431279105,0.7406508000243055,32.0697,-9.6155,main
2349714708103169,0.9164766267105255,48.6269,-9.5613,main
2349714775212033,1.3940111509303943,52.7558,-9.45,main
2349714976538625,1.4624064113367818,64.8598,-9.5656,main
2349720374607873,0.33275448655715467,30.811878000000004,-9.158582,main
2349720433328129,0.22173094826983214,34.2865,-9.2047,main
2349720517214209,0.878194748572237,39.3639,-9.2197,main
2349720596905985,0.7962475508414765,44.1837,-9.2464,main
2349728478003201,0.4201293394558269,159.7664,-8.9312,main
2349732257071104,1.149009064680354,27.3697,-8.7626,main
2349732487757825,1.547532937887056,41.430494,-8.648843,main
2349732819107841,1.223948577631921,61.1931,-8.7632,main
2349734559744001,0.04623310028385874,166.1251,-8.6308,main
2349735012728833,0.27112283856684505,193.6097,-8.7741,main
2349738057793537,1.3496814027141315,17.1646,-8.3898,main
2349738116513793,1.6553580760606486,20.6041,-8.5209,main
2349738179428353,0.562481118729435,24.3289,-8.5154,main
2349741098663937,0.6058734431089584,200.051,-8.5059,main
2349750082863105,1.6004783075451348,20.7922,-8.1082,main
2349750485516289,1.4621219273920414,44.9505,-8.0789,main
2349750942695424,0.3297689176599446,72.4668,-8.0602,main
2349750942695425,1.2419280569662055,72.4663,-8.0604,main
2349750951084033,0.7626742658738187,72.91199999999998,-8.0272,main
2349752167432193,1.0336010313891295,146.0984,-8.1025,main
2349753471860737,0.19606655725386446,224.3835,-8.0146,main
2349756282044416,0.7171778376161112,33.35217,-7.731889999999999,main
2349756332376065,1.228134302593425,36.4414,-7.626,main
2349756470788097,1.258386714216691,44.7624,-7.8034,main
2349756688891905,0.6457564488695683,57.9068,-7.8712,main
2349756827303937,1.4480025365360925,66.1631,-7.6503,main
2349761608810497,0.6025588865757038,353.5272,-7.7705,main
2349761877245953,0.9430263804314379,9.6716,-7.4131,main
2349762003075073,1.0463860253145054,17.333,-7.3945,main
2349762313453569,1.544012637934307,35.83852299999999,-7.379841000000001,main
2349762514780161,0.3375095849285606,47.9166,-7.5182,main
2349762544140289,1.315587434611048,49.7847,-7.5009,main
2349762900656129,0.15873867465921118,71.2395,-7.6002,main
2349764821647360,0.40528574237778686,186.4028,-7.4188,main
2349764821647361,1.0837919574028094,186.4036,-7.4187,main
2349767841546241,1.632680804978372,7.61762425,-7.35989329,main
2349767979958273,1.4946793512135943,15.9873,-7.1364,main
2349768726544385,1.359388735367756,60.9082,-7.3161,main
2349769947086849,1.290381665959095,134.0051,-7.2483,main
2349774082670593,0.5413237374008597,22.2827,-7.0847,main
2349774107836416,0.38184014848225367,23.6659,-6.9344,main
2349774279802881,0.4257975453023374,34.2047,-7.0581,main
2349774309163009,0.6794429271001449,35.9029,-6.8798,main
2349776825745409,0.5597432006262907,186.828,-7.1226,main
2349777253564417,0.3864839782256374,212.686,-7.103,main
2349780315406337,0.1433349036994554,36.2711,-6.8183,main
2349782093791232,0.23331347857585769,142.9216,-6.7258,main
2349782093791233,0.09335479674914607,142.9251,-6.725,main
2349783419191297,0.5866492391537136,222.4825,-6.8505,main
2349785755418625,0.5858716011721963,2.3419,-6.4984,main
2349786229374977,0.9410166040981334,30.7597,-6.6017,main
2349786313261057,0.5060319938005001,35.8139,-6.4845,main
2349786317455360,0.35927122321347477,36.02558579999999,-6.4796265,main
2349786317455361,0.12908647068658594,36.0256,-6.4799,main
2349786388758529,1.5956301876358696,40.317,-6.5381,main
2349786497810433,0.937324645113267,46.7723,-6.4825,main
2349788712402945,1.5173172236428025,179.5618,-6.6045,main
2349788917923841,1.0162178117984557,192.0234,-6.518,main
2349789182164993,1.6669087958577313,207.8331,-6.3838,main
2349792319504385,0.23781402899511098,35.843,-6.3243,main
2349792323698689,1.6855459645040434,36.053945,-6.164892,main
2349792327892992,0.5437395046331519,36.2244102,-6.3029047,main
2349792327892993,0.5427348775085931,36.2242,-6.3026,main
2349792340475905,0.43220452420224575,36.9565,-6.1536,main
2349792353058816,1.1127163150655466,37.7515,-6.3610000000000015,main
2349792436944897,0.20322703416424,42.9327,-6.2262,main
2349792889929728,0.17431130880048323,70.0841,-6.3394,main
2349792889929729,0.17715865786180346,70.0851,-6.3397,main
2349798283804673,1.0171024082748434,33.1991,-5.931,main
2349798380273667,0.636618866183796,39.1218,-6.0804,main
2349798422216705,0.18423826557122802,41.472,-5.9671,main
